Age,PastEmployee,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime
28,No,Travel_Rarely,Human Resources,8,Medical,2,Male,Human Resources,Divorced,4936,1,No
36,No,Travel_Rarely,Human Resources,8,Life Sciences,1,Male,Human Resources,Married,2342,0,No
39,No,Travel_Rarely,Human Resources,2,Life Sciences,4,Female,Human Resources,Married,5204,8,No
33,No,Travel_Rarely,Human Resources,3,Human Resources,4,Male,Human Resources,Divorced,2277,3,Yes
45,No,Travel_Rarely,Human Resources,24,Medical,2,Male,Human Resources,Single,2177,1,No
44,Yes,Travel_Rarely,Human Resources,1,Medical,2,Male,Human Resources,Married,10482,9,No
38,No,Travel_Rarely,Human Resources,1,Human Resources,3,Male,Human Resources,Married,2844,1,No
35,No,Travel_Rarely,Human Resources,8,Technical Degree,3,Male,Human Resources,Single,4323,1,No
33,No,Travel_Rarely,Human Resources,2,Human Resources,2,Male,Human Resources,Married,3600,1,No
42,No,Non-Travel,Human Resources,2,Medical,4,Male,Human Resources,Married,6272,7,No
34,No,Travel_Frequently,Human Resources,11,Life Sciences,3,Male,Human Resources,Married,4490,4,No
46,No,Travel_Rarely,Human Resources,1,Life Sciences,4,Female,Human Resources,Single,3423,6,No
56,No,Travel_Rarely,Human Resources,8,Life Sciences,4,Male,Manager,Single,19717,6,No
51,No,Travel_Rarely,Human Resources,5,Life Sciences,3,Male,Manager,Divorced,14026,1,Yes
42,No,Travel_Rarely,Human Resources,10,Human Resources,3,Female,Manager,Married,16799,0,No
29,No,Travel_Rarely,Human Resources,17,Other,2,Male,Human Resources,Single,7988,1,No
31,No,Travel_Rarely,Human Resources,8,Medical,4,Female,Human Resources,Single,2109,9,No
34,Yes,Travel_Rarely,Human Resources,9,Technical Degree,1,Female,Human Resources,Married,2742,1,No
30,No,Travel_Rarely,Human Resources,1,Life Sciences,3,Male,Human Resources,Divorced,2064,0,No
40,No,Travel_Rarely,Human Resources,6,Medical,3,Male,Manager,Single,16437,1,Yes
38,No,Travel_Frequently,Human Resources,10,Human Resources,3,Male,Human Resources,Married,6077,3,No
47,No,Travel_Rarely,Human Resources,26,Life Sciences,4,Female,Manager,Married,19658,3,No
44,No,Travel_Frequently,Human Resources,1,Human Resources,1,Male,Human Resources,Married,5743,4,Yes
44,No,Travel_Rarely,Human Resources,1,Life Sciences,3,Female,Human Resources,Divorced,3195,4,Yes
24,Yes,Travel_Rarely,Human Resources,22,Human Resources,4,Male,Human Resources,Married,1555,1,No
41,No,Non-Travel,Human Resources,4,Human Resources,3,Male,Human Resources,Married,6430,6,No
45,No,Travel_Rarely,Human Resources,4,Life Sciences,3,Female,Human Resources,Married,9756,4,No
24,No,Travel_Frequently,Human Resources,10,Medical,1,Male,Human Resources,Married,2145,0,No
30,Yes,Travel_Frequently,Human Resources,8,Human Resources,3,Female,Human Resources,Divorced,2180,6,No
43,No,Travel_Rarely,Human Resources,2,Life Sciences,2,Male,Human Resources,Single,3539,0,No
37,No,Travel_Rarely,Human Resources,8,Other,3,Male,Human Resources,Divorced,4071,2,No
38,No,Non-Travel,Human Resources,2,Human Resources,1,Male,Human Resources,Divorced,2592,5,No
26,Yes,Travel_Rarely,Human Resources,20,Medical,4,Female,Human Resources,Married,2148,0,Yes
31,Yes,Travel_Rarely,Human Resources,18,Human Resources,4,Male,Human Resources,Married,2956,0,No
29,Yes,Travel_Rarely,Human Resources,13,Human Resources,1,Male,Human Resources,Divorced,2335,4,Yes
28,No,Non-Travel,Human Resources,1,Life Sciences,3,Male,Human Resources,Divorced,2706,1,No
29,No,Travel_Rarely,Human Resources,6,Medical,4,Male,Human Resources,Married,2804,1,No
36,No,Travel_Frequently,Human Resources,2,Human Resources,2,Male,Human Resources,Single,3886,1,No
27,Yes,Travel_Frequently,Human Resources,22,Human Resources,1,Female,Human Resources,Married,2863,1,No
38,No,Travel_Frequently,Human Resources,1,Other,4,Male,Human Resources,Married,2991,0,Yes
55,No,Travel_Rarely,Human Resources,26,Human Resources,3,Male,Manager,Married,19636,4,Yes
25,No,Travel_Rarely,Human Resources,2,Human Resources,3,Female,Human Resources,Married,2187,4,No
35,No,Travel_Rarely,Human Resources,26,Life Sciences,3,Female,Human Resources,Single,8837,1,Yes
49,No,Travel_Frequently,Research & Development,8,Life Sciences,3,Male,Research Scientist,Married,5130,1,No
37,Yes,Travel_Rarely,Research & Development,2,Other,4,Male,Laboratory Technician,Single,2090,6,Yes
33,No,Travel_Frequently,Research & Development,3,Life Sciences,4,Female,Research Scientist,Married,2909,1,Yes
27,No,Travel_Rarely,Research & Development,2,Medical,1,Male,Laboratory Technician,Married,3468,9,No
32,No,Travel_Frequently,Research & Development,2,Life Sciences,4,Male,Laboratory Technician,Single,3068,0,No
59,No,Travel_Rarely,Research & Development,3,Medical,3,Female,Laboratory Technician,Married,2670,4,Yes
30,No,Travel_Rarely,Research & Development,24,Life Sciences,4,Male,Laboratory Technician,Divorced,2693,1,No
38,No,Travel_Frequently,Research & Development,23,Life Sciences,4,Male,Manufacturing Director,Single,9526,0,No
36,No,Travel_Rarely,Research & Development,27,Medical,3,Male,Healthcare Representative,Married,5237,6,No
35,No,Travel_Rarely,Research & Development,16,Medical,1,Male,Laboratory Technician,Married,2426,0,No
29,No,Travel_Rarely,Research & Development,15,Life Sciences,4,Female,Laboratory Technician,Single,4193,0,Yes
31,No,Travel_Rarely,Research & Development,26,Life Sciences,1,Male,Research Scientist,Divorced,2911,1,No
34,No,Travel_Rarely,Research & Development,19,Medical,2,Male,Laboratory Technician,Divorced,2661,0,No
28,Yes,Travel_Rarely,Research & Development,24,Life Sciences,3,Male,Laboratory Technician,Single,2028,5,Yes
29,No,Travel_Rarely,Research & Development,21,Life Sciences,2,Female,Manufacturing Director,Divorced,9980,1,No
32,No,Travel_Rarely,Research & Development,5,Life Sciences,1,Male,Research Scientist,Divorced,3298,0,Yes
22,No,Non-Travel,Research & Development,16,Medical,4,Male,Laboratory Technician,Divorced,2935,1,Yes
38,No,Travel_Rarely,Research & Development,2,Life Sciences,4,Male,Research Scientist,Single,3944,5,Yes
24,No,Non-Travel,Research & Development,11,Other,1,Female,Manufacturing Director,Divorced,4011,0,No
34,No,Travel_Rarely,Research & Development,7,Life Sciences,1,Female,Research Director,Single,11994,0,No
21,No,Travel_Rarely,Research & Development,15,Life Sciences,3,Male,Research Scientist,Single,1232,1,No
34,Yes,Travel_Rarely,Research & Development,6,Medical,2,Male,Research Scientist,Single,2960,2,No
53,No,Travel_Rarely,Research & Development,5,Other,3,Female,Manager,Divorced,19094,4,No
32,Yes,Travel_Frequently,Research & Development,16,Life Sciences,2,Female,Research Scientist,Single,3919,1,Yes
44,No,Travel_Rarely,Research & Development,7,Medical,1,Female,Healthcare Representative,Married,10248,3,No
33,No,Travel_Rarely,Research & Development,2,Medical,3,Male,Laboratory Technician,Single,2496,4,No
44,No,Travel_Rarely,Research & Development,10,Other,4,Male,Healthcare Representative,Married,6465,2,Yes
30,No,Travel_Rarely,Research & Development,9,Medical,4,Male,Laboratory Technician,Single,2206,1,No
24,Yes,Travel_Rarely,Research & Development,1,Medical,2,Male,Research Scientist,Married,2293,2,Yes
43,No,Travel_Rarely,Research & Development,2,Medical,4,Female,Research Scientist,Divorced,2645,1,No
36,No,Travel_Rarely,Research & Development,5,Life Sciences,2,Female,Research Scientist,Married,3419,9,Yes
35,No,Travel_Rarely,Research & Development,4,Other,3,Male,Laboratory Technician,Divorced,1951,1,No
27,No,Travel_Rarely,Research & Development,2,Life Sciences,4,Female,Laboratory Technician,Divorced,2341,1,No
26,Yes,Travel_Rarely,Research & Development,25,Life Sciences,1,Male,Laboratory Technician,Single,2293,1,No
30,No,Travel_Frequently,Research & Development,1,Medical,3,Female,Laboratory Technician,Single,4011,1,No
41,Yes,Travel_Rarely,Research & Development,12,Technical Degree,2,Female,Research Director,Married,19545,1,No
37,No,Travel_Rarely,Research & Development,19,Life Sciences,2,Male,Research Scientist,Married,3022,4,No
35,No,Travel_Rarely,Research & Development,8,Life Sciences,4,Male,Laboratory Technician,Married,2269,1,No
48,Yes,Travel_Rarely,Research & Development,1,Life Sciences,1,Male,Laboratory Technician,Single,5381,9,Yes
28,Yes,Travel_Rarely,Research & Development,5,Technical Degree,3,Male,Laboratory Technician,Single,3441,1,Yes
35,No,Non-Travel,Research & Development,11,Medical,3,Male,Healthcare Representative,Married,9884,2,Yes
33,No,Travel_Frequently,Research & Development,1,Life Sciences,1,Female,Research Director,Single,13458,1,Yes
35,No,Travel_Rarely,Research & Development,23,Medical,3,Female,Laboratory Technician,Married,4014,3,Yes
31,No,Travel_Rarely,Research & Development,7,Life Sciences,4,Male,Laboratory Technician,Divorced,5915,3,No
37,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Male,Manufacturing Director,Divorced,5993,1,No
32,No,Travel_Rarely,Research & Development,1,Medical,1,Male,Manufacturing Director,Married,6162,1,Yes
38,No,Travel_Frequently,Research & Development,29,Life Sciences,4,Female,Laboratory Technician,Single,2406,1,No
50,No,Travel_Rarely,Research & Development,7,Medical,2,Female,Research Director,Divorced,18740,5,Yes
36,No,Travel_Rarely,Research & Development,8,Technical Degree,3,Female,Healthcare Representative,Divorced,10096,1,No
55,No,Travel_Rarely,Research & Development,8,Medical,4,Female,Manager,Divorced,14756,2,Yes
36,No,Travel_Frequently,Research & Development,11,Life Sciences,2,Male,Manufacturing Director,Single,6499,1,No
45,No,Travel_Rarely,Research & Development,7,Life Sciences,2,Male,Research Scientist,Divorced,9724,2,No
35,No,Travel_Frequently,Research & Development,1,Medical,2,Male,Research Scientist,Married,2194,4,No
36,Yes,Travel_Rarely,Research & Development,9,Medical,4,Male,Research Scientist,Married,3388,0,Yes
29,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,Research Scientist,Married,2703,0,No
31,No,Travel_Rarely,Research & Development,1,Medical,3,Male,Research Scientist,Single,2501,1,No
32,No,Travel_Rarely,Research & Development,1,Life Sciences,2,Male,Research Scientist,Married,6220,1,No
36,No,Travel_Rarely,Research & Development,6,Life Sciences,2,Female,Laboratory Technician,Married,3038,3,No
31,No,Travel_Rarely,Research & Development,8,Life Sciences,3,Female,Manufacturing Director,Single,4424,1,No
45,No,Travel_Rarely,Research & Development,6,Other,4,Male,Research Director,Married,13245,4,Yes
37,No,Travel_Rarely,Research & Development,7,Medical,1,Male,Research Director,Single,13664,4,No
30,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,Laboratory Technician,Married,5126,1,Yes
35,No,Travel_Rarely,Research & Development,1,Medical,2,Male,Research Scientist,Single,2859,1,No
38,No,Non-Travel,Research & Development,6,Medical,2,Female,Research Scientist,Divorced,5329,7,Yes
34,No,Travel_Rarely,Research & Development,1,Medical,1,Male,Manufacturing Director,Married,4325,1,No
56,No,Travel_Rarely,Research & Development,7,Life Sciences,4,Male,Manufacturing Director,Single,7260,4,No
51,No,Travel_Rarely,Research & Development,9,Life Sciences,4,Male,Laboratory Technician,Married,2075,3,No
30,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,Healthcare Representative,Married,4152,1,No
40,No,Travel_Frequently,Research & Development,1,Life Sciences,3,Male,Healthcare Representative,Married,13503,1,No
46,No,Travel_Frequently,Research & Development,1,Medical,3,Male,Healthcare Representative,Married,10673,2,Yes
54,No,Travel_Rarely,Research & Development,2,Technical Degree,1,Female,Research Director,Married,13549,9,No
44,No,Non-Travel,Research & Development,23,Medical,2,Male,Laboratory Technician,Married,2042,4,No
32,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,Research Scientist,Single,2956,1,No
20,Yes,Travel_Frequently,Research & Development,6,Life Sciences,4,Female,Laboratory Technician,Single,2926,1,Yes
34,No,Travel_Rarely,Research & Development,6,Other,1,Female,Research Scientist,Single,4809,1,No
37,No,Non-Travel,Research & Development,2,Life Sciences,3,Male,Healthcare Representative,Divorced,5163,5,No
50,No,Travel_Frequently,Research & Development,1,Life Sciences,1,Female,Research Director,Married,18172,3,Yes
25,No,Travel_Rarely,Research & Development,7,Medical,4,Male,Research Scientist,Married,2889,1,No
22,No,Travel_Rarely,Research & Development,15,Medical,2,Female,Laboratory Technician,Single,2871,1,No
51,No,Travel_Frequently,Research & Development,1,Medical,1,Female,Healthcare Representative,Single,7484,3,No
34,Yes,Travel_Frequently,Research & Development,7,Life Sciences,1,Male,Laboratory Technician,Single,6074,1,Yes
24,No,Travel_Rarely,Research & Development,18,Life Sciences,2,Male,Laboratory Technician,Married,2774,0,No
34,No,Travel_Rarely,Research & Development,6,Life Sciences,3,Female,Research Scientist,Divorced,4505,6,No
34,No,Travel_Rarely,Research & Development,5,Medical,3,Female,Manager,Single,11631,2,No
36,No,Travel_Rarely,Research & Development,3,Life Sciences,1,Female,Laboratory Technician,Divorced,2835,5,No
30,No,Travel_Frequently,Research & Development,23,Life Sciences,1,Male,Research Scientist,Divorced,2613,1,No
56,Yes,Travel_Rarely,Research & Development,14,Life Sciences,2,Female,Research Scientist,Married,4963,9,Yes
51,No,Travel_Rarely,Research & Development,6,Life Sciences,1,Male,Research Director,Single,19537,7,No
26,No,Travel_Rarely,Research & Development,6,Other,3,Female,Research Scientist,Married,2368,1,No
58,Yes,Travel_Rarely,Research & Development,23,Medical,4,Female,Healthcare Representative,Married,10312,1,No
22,No,Travel_Rarely,Research & Development,2,Technical Degree,3,Male,Laboratory Technician,Married,2523,0,No
49,No,Travel_Rarely,Research & Development,20,Medical,3,Female,Manufacturing Director,Married,6567,1,No
43,No,Travel_Frequently,Research & Development,28,Medical,2,Female,Research Scientist,Single,4739,4,No
36,No,Travel_Rarely,Research & Development,6,Medical,2,Male,Manufacturing Director,Divorced,4941,6,No
51,Yes,Travel_Frequently,Research & Development,8,Life Sciences,1,Male,Manufacturing Director,Single,10650,2,No
32,Yes,Travel_Rarely,Research & Development,9,Medical,1,Female,Laboratory Technician,Single,4200,7,No
45,No,Travel_Rarely,Research & Development,29,Medical,3,Male,Research Scientist,Single,3452,5,No
38,No,Travel_Rarely,Research & Development,3,Technical Degree,4,Female,Research Scientist,Single,4317,3,Yes
30,No,Travel_Rarely,Research & Development,18,Life Sciences,1,Female,Research Scientist,Single,2632,1,No
30,No,Travel_Rarely,Research & Development,5,Technical Degree,4,Female,Research Scientist,Divorced,3204,5,No
30,No,Travel_Rarely,Research & Development,2,Medical,2,Male,Laboratory Technician,Single,2720,0,No
41,No,Travel_Frequently,Research & Development,10,Life Sciences,4,Male,Manager,Divorced,17181,4,No
41,No,Travel_Rarely,Research & Development,9,Life Sciences,3,Male,Laboratory Technician,Married,2238,2,No
19,No,Travel_Rarely,Research & Development,3,Medical,2,Female,Laboratory Technician,Single,1483,1,No
40,No,Travel_Frequently,Research & Development,26,Medical,2,Female,Research Scientist,Divorced,5605,1,No
45,No,Travel_Rarely,Research & Development,9,Life Sciences,2,Male,Laboratory Technician,Divorced,2348,8,No
29,No,Non-Travel,Research & Development,1,Technical Degree,4,Male,Manufacturing Director,Married,4319,1,No
51,No,Travel_Rarely,Research & Development,7,Medical,2,Male,Manufacturing Director,Married,6132,2,No
58,No,Travel_Rarely,Research & Development,9,Medical,2,Female,Research Scientist,Married,3346,4,Yes
22,No,Travel_Rarely,Research & Development,19,Medical,3,Male,Research Scientist,Married,2323,1,No
27,No,Non-Travel,Research & Development,9,Medical,4,Male,Research Scientist,Divorced,2024,6,No
28,No,Travel_Rarely,Research & Development,21,Medical,3,Male,Research Scientist,Married,2713,1,No
57,No,Travel_Rarely,Research & Development,24,Life Sciences,3,Male,Healthcare Representative,Divorced,9439,3,Yes
27,No,Non-Travel,Research & Development,3,Medical,3,Male,Research Scientist,Divorced,2566,1,Yes
50,No,Travel_Rarely,Research & Development,11,Life Sciences,3,Female,Manager,Single,19926,3,No
41,No,Travel_Rarely,Research & Development,14,Life Sciences,1,Male,Research Scientist,Divorced,2451,4,No
32,No,Travel_Rarely,Research & Development,6,Life Sciences,3,Male,Research Scientist,Single,3038,3,No
27,No,Travel_Rarely,Research & Development,17,Technical Degree,3,Male,Research Scientist,Married,3058,0,Yes
36,No,Travel_Frequently,Research & Development,3,Medical,4,Male,Laboratory Technician,Single,2088,4,No
30,No,Non-Travel,Research & Development,9,Medical,3,Male,Laboratory Technician,Divorced,3072,1,No
56,No,Travel_Rarely,Research & Development,8,Life Sciences,3,Female,Research Scientist,Divorced,4257,4,Yes
33,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,Research Scientist,Single,2500,0,No
19,Yes,Travel_Rarely,Research & Development,2,Life Sciences,2,Male,Laboratory Technician,Single,1102,1,No
38,No,Travel_Rarely,Research & Development,9,Life Sciences,3,Female,Laboratory Technician,Single,2288,1,No
31,No,Travel_Rarely,Research & Development,12,Medical,3,Female,Research Scientist,Married,3929,8,Yes
34,No,Travel_Rarely,Research & Development,27,Medical,4,Female,Research Scientist,Single,2311,2,No
50,No,Travel_Rarely,Research & Development,1,Medical,3,Male,Laboratory Technician,Married,3690,2,No
53,No,Travel_Rarely,Research & Development,13,Medical,4,Female,Manufacturing Director,Divorced,4450,1,No
33,No,Travel_Rarely,Research & Development,14,Medical,4,Female,Research Scientist,Married,2756,1,No
40,No,Travel_Rarely,Research & Development,4,Medical,4,Female,Manager,Married,19033,1,No
55,No,Travel_Rarely,Research & Development,14,Medical,3,Male,Research Director,Single,18722,8,No
34,No,Travel_Frequently,Research & Development,2,Life Sciences,4,Male,Manufacturing Director,Married,9547,1,No
51,No,Travel_Rarely,Research & Development,3,Medical,4,Female,Healthcare Representative,Single,13734,3,No
52,No,Travel_Rarely,Research & Development,1,Life Sciences,3,Male,Manager,Married,19999,0,No
27,No,Travel_Rarely,Research & Development,9,Medical,4,Female,Research Scientist,Single,2279,1,No
35,Yes,Travel_Rarely,Research & Development,23,Life Sciences,2,Male,Manufacturing Director,Married,5916,3,Yes
43,No,Non-Travel,Research & Development,7,Medical,4,Male,Research Scientist,Divorced,2089,4,No
45,No,Non-Travel,Research & Development,2,Medical,1,Male,Manager,Married,16792,9,No
37,No,Travel_Rarely,Research & Development,21,Life Sciences,2,Male,Research Scientist,Married,3564,1,Yes
35,No,Travel_Frequently,Research & Development,2,Medical,2,Female,Laboratory Technician,Single,4425,5,No
42,No,Non-Travel,Research & Development,21,Medical,3,Female,Manufacturing Director,Divorced,5265,2,No
38,No,Travel_Rarely,Research & Development,2,Life Sciences,4,Male,Manufacturing Director,Married,6553,9,No
38,No,Travel_Rarely,Research & Development,29,Technical Degree,4,Male,Manufacturing Director,Married,6261,3,No
27,No,Travel_Frequently,Research & Development,1,Technical Degree,3,Male,Manufacturing Director,Married,4298,5,No
49,No,Non-Travel,Research & Development,18,Life Sciences,4,Male,Manufacturing Director,Divorced,6804,1,Yes
34,No,Travel_Frequently,Research & Development,10,Medical,4,Male,Research Scientist,Divorced,3815,1,Yes
40,No,Travel_Rarely,Research & Development,19,Medical,3,Male,Laboratory Technician,Married,2741,8,Yes
38,Yes,Travel_Rarely,Research & Development,29,Medical,2,Male,Healthcare Representative,Married,6673,7,Yes
22,No,Travel_Rarely,Research & Development,5,Life Sciences,4,Male,Research Scientist,Divorced,2328,1,Yes
36,No,Travel_Frequently,Research & Development,18,Medical,2,Female,Laboratory Technician,Single,2153,1,No
40,No,Non-Travel,Research & Development,9,Life Sciences,4,Male,Healthcare Representative,Married,4876,9,No
46,No,Travel_Rarely,Research & Development,1,Medical,4,Male,Healthcare Representative,Divorced,9396,7,No
30,No,Non-Travel,Research & Development,1,Life Sciences,3,Male,Manufacturing Director,Single,8474,1,No
51,No,Travel_Rarely,Research & Development,8,Life Sciences,2,Male,Research Director,Married,12490,5,No
30,Yes,Travel_Rarely,Research & Development,3,Technical Degree,4,Female,Research Scientist,Single,2657,5,Yes
29,Yes,Travel_Rarely,Research & Development,1,Technical Degree,3,Male,Research Scientist,Single,2058,0,No
36,No,Travel_Rarely,Research & Development,5,Life Sciences,4,Male,Laboratory Technician,Single,5914,8,No
33,No,Travel_Rarely,Research & Development,4,Medical,3,Female,Research Scientist,Married,2622,6,No
37,No,Travel_Frequently,Research & Development,11,Other,2,Male,Research Director,Divorced,12185,1,Yes
31,No,Non-Travel,Research & Development,1,Medical,3,Male,Manufacturing Director,Married,4345,0,No
59,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,Research Scientist,Married,2177,3,No
29,Yes,Travel_Rarely,Research & Development,18,Medical,3,Male,Research Scientist,Single,2389,1,Yes
52,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Female,Laboratory Technician,Single,3212,7,No
42,No,Travel_Rarely,Research & Development,4,Technical Degree,3,Male,Manager,Married,19232,1,No
33,Yes,Travel_Rarely,Research & Development,14,Medical,3,Male,Laboratory Technician,Married,2436,5,Yes
33,Yes,Travel_Rarely,Research & Development,2,Life Sciences,1,Female,Laboratory Technician,Married,2707,7,No
32,Yes,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,Laboratory Technician,Single,3730,0,Yes
39,No,Travel_Rarely,Research & Development,1,Medical,3,Female,Laboratory Technician,Divorced,2232,7,No
41,No,Travel_Rarely,Research & Development,19,Life Sciences,3,Male,Research Scientist,Divorced,3072,2,No
40,No,Travel_Rarely,Research & Development,24,Technical Degree,1,Male,Research Scientist,Divorced,3319,1,No
45,No,Travel_Rarely,Research & Development,1,Other,3,Male,Manager,Married,19202,0,No
31,No,Travel_Frequently,Research & Development,3,Medical,2,Male,Research Director,Divorced,13675,9,No
33,No,Travel_Rarely,Research & Development,5,Life Sciences,3,Female,Research Scientist,Married,2911,1,No
34,No,Travel_Rarely,Research & Development,2,Life Sciences,4,Male,Manufacturing Director,Married,5957,6,No
37,No,Travel_Rarely,Research & Development,1,Medical,3,Female,Research Scientist,Married,3920,2,No
45,No,Travel_Frequently,Research & Development,7,Life Sciences,1,Male,Manufacturing Director,Married,6434,4,No
37,Yes,Travel_Frequently,Research & Development,10,Medical,1,Male,Manufacturing Director,Divorced,10048,6,No
39,No,Travel_Frequently,Research & Development,2,Technical Degree,3,Female,Healthcare Representative,Single,10938,0,No
29,No,Travel_Rarely,Research & Development,15,Life Sciences,3,Male,Research Scientist,Single,2340,1,No
42,No,Travel_Rarely,Research & Development,17,Life Sciences,4,Female,Research Scientist,Single,6545,3,Yes
25,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Female,Manufacturing Director,Married,4898,0,No
42,No,Travel_Rarely,Research & Development,2,Medical,4,Female,Laboratory Technician,Divorced,2593,0,Yes
40,No,Travel_Rarely,Research & Development,2,Medical,1,Male,Research Director,Divorced,19436,0,No
51,No,Travel_Rarely,Research & Development,1,Life Sciences,3,Male,Research Scientist,Married,2723,1,No
31,Yes,Travel_Frequently,Research & Development,29,Medical,3,Male,Laboratory Technician,Single,3479,0,No
32,No,Travel_Frequently,Research & Development,7,Life Sciences,2,Male,Laboratory Technician,Married,2794,1,No
32,No,Travel_Rarely,Research & Development,2,Technical Degree,4,Male,Laboratory Technician,Single,2176,4,No
28,Yes,Travel_Rarely,Research & Development,2,Life Sciences,1,Male,Laboratory Technician,Single,3485,2,No
31,No,Travel_Rarely,Research & Development,23,Medical,2,Male,Healthcare Representative,Married,5582,0,No
25,No,Non-Travel,Research & Development,5,Life Sciences,2,Male,Healthcare Representative,Divorced,4000,1,No
45,No,Travel_Rarely,Research & Development,20,Medical,3,Male,Healthcare Representative,Married,13496,0,Yes
36,No,Travel_Rarely,Research & Development,6,Life Sciences,4,Male,Laboratory Technician,Married,3210,0,No
55,No,Travel_Rarely,Research & Development,1,Medical,4,Male,Manager,Single,19045,0,Yes
47,Yes,Non-Travel,Research & Development,29,Life Sciences,1,Male,Manager,Married,11849,1,Yes
28,No,Travel_Rarely,Research & Development,9,Medical,4,Male,Research Scientist,Married,2070,1,No
21,No,Travel_Rarely,Research & Development,3,Medical,4,Male,Research Scientist,Single,3230,1,No
37,No,Non-Travel,Research & Development,1,Medical,1,Female,Research Director,Divorced,13603,2,Yes
35,No,Travel_Rarely,Research & Development,22,Life Sciences,2,Female,Manager,Divorced,11996,7,No
26,No,Travel_Frequently,Research & Development,1,Life Sciences,3,Female,Manufacturing Director,Divorced,6397,1,No
50,No,Travel_Rarely,Research & Development,4,Life Sciences,1,Male,Research Director,Divorced,19144,3,No
53,No,Travel_Rarely,Research & Development,3,Medical,3,Male,Research Director,Married,17584,3,Yes
55,No,Travel_Rarely,Research & Development,20,Technical Degree,2,Male,Laboratory Technician,Married,5415,3,Yes
26,No,Travel_Frequently,Research & Development,11,Medical,1,Male,Healthcare Representative,Married,4741,1,Yes
37,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Female,Research Scientist,Single,2115,1,No
44,Yes,Travel_Frequently,Research & Development,24,Life Sciences,4,Male,Laboratory Technician,Divorced,3161,3,Yes
38,No,Travel_Rarely,Research & Development,23,Life Sciences,4,Male,Healthcare Representative,Divorced,5745,9,No
26,Yes,Travel_Rarely,Research & Development,16,Medical,1,Male,Laboratory Technician,Divorced,2373,2,Yes
28,No,Travel_Rarely,Research & Development,8,Life Sciences,4,Female,Research Scientist,Single,3310,1,No
49,No,Travel_Frequently,Research & Development,10,Life Sciences,3,Female,Research Director,Single,18665,9,Yes
36,No,Travel_Rarely,Research & Development,3,Technical Degree,3,Male,Research Scientist,Single,4485,4,No
37,No,Travel_Frequently,Research & Development,9,Medical,2,Male,Research Scientist,Married,2326,1,Yes
18,Yes,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,Laboratory Technician,Single,1420,1,No
